Experiment,TestlooSens_R_mean,TestlooSpec_R_mean,TestlooPrec_R_mean,TestlooBAcc_R_mean,TestlooSens_W_mean,TestlooSpec_W_mean,TestlooPrec_W_mean,TestlooBAcc_W_mean,TestlooSens_G_mean,TestlooSpec_G_mean,TestlooPrec_G_mean,TestlooBAcc_G_mean,TestlooSens_GM_mean,TestlooSpec_GM_mean,TestlooPrec_GM_mean,TestlooBAcc_GM_mean,TestlooAcc_mean_macro,TestlooKappa_mean_macro,TestlooBAcc_mean_macro,TestlooSpec_mean_macro,TestlooSens_mean_macro,TestlooPrec_mean_macro,TestlooSens_mean,TestlooSpec_mean,TestlooBAcc_mean,TestlooPrec_mean
,0.4585507,0.9856902,0.6125,0.7197299,0.6891026,0.98693,0.8542735,0.8298475,0.8388419,0.8680481,0.9098497,0.853445,0.8647099,0.8458419,0.5799679,0.8167364,0.8301122,0.6101068,nan,0.9216276,0.7499004,0.7528178,0.7128013,0.9216276,0.8049397,0.7391478
new-metrics-implementation,0.4585507,0.9856902,0.6125,0.7197299,0.6891026,0.98693,0.8542735,0.8298475,0.8388419,0.8680481,0.9098497,0.853445,0.8647099,0.8458419,0.5799679,0.8167364,,,,,,,,,,
fixed-macro-metrics,,,,,,,,,,,,,,,,,,,,,,,,,,
35f-1s-no-log-1d-loocvtune,0.4585507,0.9856902,0.6125,0.7197299,0.6891026,0.98693,0.8542735,0.8298475,0.8388419,0.8680481,0.9098497,0.853445,0.8647099,0.8458419,0.5799679,0.8167364,0.8301122,0.6101068,nan,0.9216276,0.7499004,0.7528178,0.7128013,0.9216276,0.8049397,0.7391478
30f-1s-no-log-1d-loocvtune,0.4585507,0.9856902,0.6125,0.7197299,0.6891026,0.98693,0.8542735,0.8298475,0.8388419,0.8680481,0.9098497,0.853445,0.8647099,0.8458419,0.5799679,0.8167364,0.8301122,0.6101068,nan,0.9216276,0.7499004,0.7528178,0.7128013,0.9216276,0.8049397,0.7391478
25f-1s-no-log-1d-loocvtune,0.4585507,0.9856902,0.6125,0.7197299,0.6891026,0.98693,0.8542735,0.8298475,0.8388419,0.8680481,0.9098497,0.853445,0.8647099,0.8458419,0.5799679,0.8167364,0.8301122,0.6101068,nan,0.9216276,0.7499004,0.7528178,0.7128013,0.9216276,0.8049397,0.7391478
20f-1s-no-log-1d-loocvtune,0.4585507,0.9856902,0.6125,0.7197299,0.6891026,0.9889876,0.8733211,0.8321623,0.8481012,0.8765951,0.9172105,0.8623482,0.8785987,0.851517,0.5787437,0.8279371,0.8354482,0.6208281,nan,0.9256975,0.757019,0.7581714,0.7185883,0.9256975,0.8105444,0.7454438
15f-1s-no-log-1d-loocvtune,0.4585507,0.9856902,0.5803571,0.7197299,0.6891026,0.9913024,0.8968254,0.8347665,0.8575148,0.868373,0.9090676,0.8629439,0.8559379,0.8557072,0.5887286,0.8197494,0.835158,0.622238,nan,0.9252682,0.7547439,0.754862,0.7152765,0.9252682,0.8092974,0.7437447
10f-1s-no-log-1d-loocvtune,0.4318841,0.9763821,0.4344444,0.7045784,0.6891026,0.9859768,0.6583333,0.8324517,0.83049,0.8439287,0.8942596,0.8372094,0.8106163,0.8439641,0.6107534,0.7882812,0.8021339,0.5859165,nan,0.9125629,0.7293327,0.6879857,0.6905232,0.9125629,0.7906302,0.6494477
5f-1s-no-log-1d-loocvtune,0.4585507,0.9516346,0.3231746,0.695639,0.7099359,0.9826191,0.6309524,0.8471554,0.7654711,0.8068508,0.8603936,0.7861609,0.7762033,0.829758,0.5634615,0.7604202,0.7438759,0.4895134,nan,0.8927156,0.7036447,0.650166,0.6775403,0.8927156,0.7723439,0.5944955
