Experiment,looSens_R_mean,looSpec_R_mean,looPrec_R_mean,looBAcc_R_mean,looSens_W_mean,looSpec_W_mean,looPrec_W_mean,looBAcc_W_mean,looSens_G_mean,looSpec_G_mean,looPrec_G_mean,looBAcc_G_mean,looSens_GM_mean,looSpec_GM_mean,looPrec_GM_mean,looBAcc_GM_mean,looAcc_mean_macro,looKappa_mean_macro,looBAcc_mean_macro,looSpec_mean_macro,looSens_mean_macro,looPrec_mean_macro
,0.1933333,0.9600521,0.2301587,0.5639394,0.6666667,0.9461105,0.5074067,0.7763842,0.7234657,0.8820288,0.9161972,0.8027472,0.8954678,0.7657878,0.4765846,0.7748526,0.704357,0.4698729,nan,0.8884948,0.6639352,0.594451
new-metrics-implementation,0.1933333,0.9600521,0.2301587,0.5639394,0.6666667,0.9461105,0.5074067,0.7763842,0.7234657,0.8820288,0.9161972,0.8027472,0.8954678,0.7657878,0.4765846,0.7748526,,,,,,
fixed-macro-metrics,,,,,,,,,,,,,,,,,,,,,,
35f-1s-no-log-1d-loocvtune,0.1933333,0.9600521,0.2301587,0.5639394,0.6666667,0.9461105,0.5074067,0.7763842,0.7234657,0.8820288,0.9161972,0.8027472,0.8954678,0.7657878,0.4765846,0.7748526,0.704357,0.4698729,nan,0.8884948,0.6639352,0.594451
30f-1s-no-log-1d-loocvtune,0.1933333,0.9600521,0.2301587,0.5639394,0.6666667,0.9461105,0.5074067,0.7763842,0.7234657,0.8820288,0.9161972,0.8027472,0.8954678,0.7657878,0.4765846,0.7748526,0.704357,0.4698729,nan,0.8884948,0.6639352,0.594451
25f-1s-no-log-1d-loocvtune,0.1933333,0.9600521,0.2301587,0.5639394,0.6666667,0.9461105,0.5074067,0.7763842,0.7234657,0.8820288,0.9161972,0.8027472,0.8954678,0.7657878,0.4765846,0.7748526,0.704357,0.4698729,nan,0.8884948,0.6639352,0.594451
20f-1s-no-log-1d-loocvtune,0.2194203,0.9514663,0.3541667,0.5692556,0.6666667,0.9452633,0.6718954,0.7717545,0.704961,0.8858275,0.9302679,0.7953942,0.8815789,0.7537623,0.3951365,0.7587439,0.6925314,0.4503998,nan,0.8840798,0.6583168,0.6073778
15f-1s-no-log-1d-loocvtune,0.2173913,0.9620723,0.3095238,0.5777866,0.6666667,0.9475781,0.6868915,0.7743587,0.7250494,0.8967486,0.9323388,0.810899,0.9093567,0.7590049,0.4587275,0.775321,0.7115012,0.4782596,nan,0.891351,0.6714073,0.6260735
10f-1s-no-log-1d-loocvtune,0.2594203,0.9471621,0.3416667,0.5883465,0.6875,0.9454219,0.4614478,0.8061874,0.7117466,0.8566252,0.9146544,0.7841859,0.7858187,0.773224,0.3957213,0.7267038,0.6972036,0.4490428,nan,0.8806083,0.6369534,0.5361957
5f-1s-no-log-1d-loocvtune,0.226087,0.9069024,0.0859375,0.5325889,0.6041667,0.9528003,0.4746753,0.7647569,0.5991249,0.8420522,0.870916,0.7205885,0.8394624,0.7131169,0.4316545,0.7083002,0.6053951,0.3254009,nan,0.8537179,0.5986787,0.5569883
