Experiment	Tag	Anim	Date	Date/Time	Standing	Active	Lying	Steps	collar	DOP	lat	long	distance (m)	X_Act	Y_Act	% HeadDown	Activity	SMA	Diffxy	Meanxy	Varxy	logx	logy	logdiffxy	logmeanxy	logvarxy	logdistance	DFL1	DFL2	DFL3	DFA12	DFA123	DBL1	DBL2	DBL3	DBA12	DBA123
Abdel	177379	1553	9/14/1950	13:20	0.1542	0.8458	0.0000	215	1535	4.2	35.9484067	-97.2692311	172.43	243	30	12	W	273	213	137	22684.5	2.4	1.5	2.3	2.1	4.4	2.2	14.8	147.9	22.5	148.0	273.4					
Abdel	177360	1635	9/14/1950	13:20	0.1620	0.8380	0.0000	206	1525	2.4	35.9484228	-97.2690675	154.01	54	61	49	W	115	-7	58	24.5	1.7	1.8	0.8	1.8	1.4	2.2	133.1	8.0	208.4	258.5	461.9	14.8				
Abdel	177379	1553	9/15/1950	13:03	0.0294	0.9706	0.0000	286	1535	1.7	35.9484394	-97.2675889	149.48	5	7	5	W	12	-2	6	2	0.7	0.8	0.3	0.8	0.3	2.2	125.4	194.4	168.9	328.8	355.6	133.1	147.9		148.0	
Abdel	177492	1779	9/14/1950	13:20	0.1612	0.8388	0.0000	221	1531	2.4	35.9484058	-97.2689817	146.72	125	74	17	W	199	51	100	1300.5	2.1	1.9	1.7	2.0	3.1	2.2	203.4	188.4	192.0	230.2	241.8	125.4	8.0	22.5	258.5	273.4
Abdel	177406	1635	10/6/1950	13:03	0.3160	0.6840	0.0000	179	1530	4.0	35.9467339	-97.2680650	140.67	46	13	33	W	59	33	30	544.5	1.7	1.1	1.5	1.5	2.7	2.1	26.8	15.8	185.2	38.4	208.1	203.4	194.4	208.4	328.8	461.9
Abdel	177492	1713	10/6/1950	11:45	0.4728	0.5272	0.0000	135	1532	4.8	35.9469450	-97.2679217	138.07	54	22	50	RS	76	32	38	512	1.7	1.3	1.5	1.6	2.7	2.1	11.6	160.9	163.0	181.3	186.0	26.8	188.4	168.9	230.2	355.6
Abdel	177406	1635	10/6/1950	11:45	0.6540	0.3460	0.0000	90	1530	2.7	35.9468692	-97.2680097	128.19	78	24	32	RS	102	54	51	1458	1.9	1.4	1.7	1.7	3.2	2.1	169.8	171.8	7.1	174.4	343.6	11.6	15.8	192.0	38.4	241.8
Abdel	177492	1779	9/15/1950	13:03	0.0558	0.9442	0.0000	274	1531	2.8	35.9483903	-97.2678464	126.50	118	17	15	W	135	101	68	5100.5	2.1	1.2	2.0	1.8	3.7	2.1	4.6	167.0	49.1	173.8	334.3	169.8	160.9	185.2	181.3	208.1
Abdel	177360	1635	9/15/1950	13:03	0.0674	0.9326	0.0000	249	1525	2.4	35.9484111	-97.2678911	126.34	64	53	35	W	117	11	59	60.5	1.8	1.7	1.0	1.8	1.8	2.1	169.2	53.7	174.0	329.7	496.3	4.6	171.8	163.0	174.4	186.0
Abdel	177386	1636	10/6/1950	11:45	0.6522	0.3478	0.0000	91	1524	2.7	35.9468900	-97.2679350	124.38	148	29	14	RS	177	119	89	7080.5	2.2	1.5	2.1	1.9	3.9	2.1	160.5	6.9	151.1	327.1	484.3	169.2	167.0	7.1	173.8	343.6
Abdel	177379	1553	9/14/1950	13:16	0.0514	0.9486	0.0000	244	1535	3.7	35.9482478	-97.2673297	123.88	3	37	23	W	40	-34	20	578	0.5	1.6	1.5	1.3	2.8	2.1	166.6	9.5	121.5	323.8	443.2	160.5	53.7	49.1	329.7	334.3
Abdel	177416	1646	10/6/1950	11:45	0.7038	0.2962	0.0000	81	1527	2.3	35.9468486	-97.2679925	122.39	91	13	84	RS	104	78	52	3042	2.0	1.1	1.9	1.7	3.5	2.1	157.2	173.6	177.6	276.6	297.3	166.6	6.9	174.0	327.1	496.3
Abdel	177379	1553	9/15/1950	11:19	0.1820	0.8180	0.0000	224	1535	2.8	35.9481669	-97.2673622	121.08	151	10	5	W	161	141	81	9940.5	2.2	1.0	2.1	1.9	4.0	2.1	119.4	138.9	185.3	140.1	323.5	157.2	9.5	151.1	323.8	484.3
Abdel	177379	1553	9/15/1950	11:24	0.0448	0.9552	0.0000	269	1535	2.5	35.9483086	-97.2686769	119.64	222	28	11	W	250	194	125	18818	2.3	1.4	2.3	2.1	4.3	2.1	20.7	183.2	180.6	204.1	274.0	119.4	173.6	121.5	276.6	443.2
Abdel	177492	1779	9/15/1950	11:41	0.1904	0.8096	0.0000	228	1531	3.0	35.9482667	-97.2689008	118.08	54	163	13	RS	217	-109	109	5940.5	1.7	2.2	2.0	2.0	3.8	2.1	183.4	172.9	133.3	253.3	468.8	20.7	138.9	177.6	140.1	297.3
Abdel	177492	1713	10/6/1950	13:03	0.2588	0.7412	0.0000	202	1532	2.4	35.9466881	-97.2683103	116.82	92	26	7	W	118	66	59	2178	2.0	1.4	1.8	1.8	3.3	2.1	69.9	177.6	180.4	285.4	288.7	183.4	183.2	185.3	204.1	323.5
Abdel	177406	1635	10/5/1950	7:56	0.4796	0.5204	0.0000	140	1530	2.4	35.9467189	-97.2690861	113.90	76	66	65	G	142	10	71	50	1.9	1.8	1.0	1.9	1.7	2.1	215.4	218.6	177.3	218.8	330.9	69.9	172.9	180.6	253.3	274.0
Abdel	177492	1779	9/15/1950	11:19	0.1524	0.8476	0.0000	236	1531	2.8	35.9481183	-97.2674311	113.90	92	139	5	W	231	-47	116	1104.5	2.0	2.1	1.7	2.1	3.0	2.1	3.3	109.5	109.5	115.4	116.0	215.4	177.6	133.3	285.4	468.8
Abdel	177360	1635	9/15/1950	11:19	0.2294	0.7706	0.0000	203	1525	4.1	35.9481333	-97.2673989	112.61	32	8	55	W	40	24	20	288	1.5	0.9	1.4	1.3	2.5	2.1	112.1	112.1	215.5	112.6	285.5	3.3	218.6	180.4	218.8	288.7
Abdel	177360	1635	9/15/1950	11:24	0.0536	0.9464	0.0000	242	1525	2.5	35.9482703	-97.2686325	112.32	32	97	42	W	129	-65	65	2112.5	1.5	2.0	1.8	1.8	3.3	2.1	0.6	172.3	16.1	173.4	343.6	112.1	109.5	177.3	115.4	330.9
Abdel	177492	1779	9/15/1950	11:24	0.0448	0.9552	0.0000	275	1531	2.5	35.9482753	-97.2686322	109.75	117	68	13	W	185	49	93	1200.5	2.1	1.8	1.7	2.0	3.1	2.0	172.9	16.1	15.6	343.1	343.9	0.6	112.1	109.5	112.6	116.0
